"Id";"ZipCode";"Place"
1436;2577;"Siselen BE"
1437;2577;"Finsterhennen"
1438;2603;"Péry"
1439;2603;"Péry"
1440;2604;"La Heutte"
1441;2605;"Sonceboz-Sombeval"
1442;2606;"Corgémont"
1443;2606;"Corgémont"
1444;2607;"Cortébert"
1445;2608;"Courtelary"
1446;2608;"Mtgne-Courtelary"
1447;2608;"Mtgne-Courtelary"
1448;2608;"Mtgne-Courtelary"
1449;2610;"St-Imier"
1450;2610;"St-Imier"
1451;2610;"Mont-Soleil"
1452;2610;"Mont-Soleil"
1453;2610;"Les Pontins"
1454;2610;"Les Pontins"
1455;2610;"Mont-Crosin"
1456;2610;"Mont-Crosin"
1457;2610;"Mont-Crosin"
1458;2612;"Cormoret"
1459;2613;"Villeret"
1460;2613;"Villeret"
1461;2615;"Sonvilier"
1462;2615;"Montagne-Sonvilier"
1463;2616;"Renan BE"
1464;2616;"Renan BE"
1465;2616;"La Cibourg"
1466;2710;"Tavannes"
1467;2710;"Tavannes"
1468;2712;"Le Fuet"
1469;2712;"Le Fuet"
1470;2713;"Bellelay"
1471;2714;"Les Genevez JU"
1472;2714;"Le Prédame"
1473;2715;"Châtelat"
1474;2715;"Monible"
1475;2716;"Sornetan"
1476;2717;"Fornet-Dessous"
1477;2717;"Rebévelier"
1478;2718;"Lajoux JU"
1479;2718;"Lajoux JU"
1480;2718;"Fornet-Dessus"
1481;2718;"Fornet-Dessus"
1482;2720;"Tramelan"
1483;2720;"Tramelan"
1484;2720;"La Tanne"
1485;2720;"La Tanne"
1486;2720;"La Tanne"
1487;2720;"La Tanne"
1488;2722;"Les Reussilles"
1489;2723;"Mont-Tramelan"
1490;2723;"Mont-Tramelan"
1491;2723;"Mont-Tramelan"
1492;2723;"Mont-Tramelan"
1493;2732;"Reconvilier"
1494;2732;"Reconvilier"
1495;2732;"Saicourt"
1496;2732;"Saules BE"
1497;2732;"Loveresse"
1498;2733;"Pontenet"
1499;2735;"Bévilard"
1500;2735;"Champoz"
1501;2735;"Champoz"
1502;2735;"Malleray"
1503;2735;"Malleray"
1504;2736;"Sorvilier"
1505;2738;"Court"
1506;2740;"Moutier"
1507;2740;"Moutier"
1508;2740;"Moutier"
1509;2742;"Perrefitte"
1510;2743;"Eschert"
1511;2744;"Belprahon"
1512;2745;"Grandval"
1513;2746;"Crémines"
1514;2747;"Corcelles BE"
1515;2747;"Corcelles BE"
1516;2747;"Seehof"
1517;2747;"Seehof"
1518;2748;"Souboz"
1519;2748;"Souboz"
1520;2748;"Les Ecorcheresses"
1521;2748;"Les Ecorcheresses"
